Status,Program,Grade,Type
Accepted,Computer Science,98.83,101
Accepted,Computer Science,99.80,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,95.00,105
Accepted,Computer Science,97.00,101
Accepted,Computer Science,95.60,105
Accepted,Computer Science,98.00,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,97.70,101
Accepted,Computer Science,97.16,101
Accepted,Computer Science,100.00,105
Accepted,Computer Science,97.00,101
Accepted,Computer Science,99.70,105
Accepted,Computer Science,97.20,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,99.20,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.80,101
Accepted,Computer Science,97.50,101
Accepted,Computer Science,96.80,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,95.00,101
Accepted,Computer Science,98.30,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,98.50,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,97.83,101
Accepted,Computer Science,97.80,101
Accepted,Computer Science,99.50,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,98.50,101
Accepted,Computer Science,97.60,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,97.66,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,96.80,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,98.17,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,96.30,101
Accepted,Computer Science,98.17,101
Accepted,Computer Science,98.20,101
Accepted,Computer Science,96.50,101
Accepted,Computer Science,98.20,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,98.70,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,96.50,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,94.60,101
Accepted,Computer Science,98.80,101
Accepted,Computer Science,99.17,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.33,101
Accepted,Computer Science,97.30,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,98.70,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,98.20,101
Accepted,Computer Science,93.70,101
Accepted,Computer Science,98.30,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,96.50,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.30,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,97.30,101
Accepted,Computer Science,97.50,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.00,105
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,98.30,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,96.80,105
Accepted,Computer Science,97.00,105
Accepted,Computer Science,97.50,101
Accepted,Computer Science,98.50,101
Accepted,Computer Science,98.90,105
Accepted,Computer Science,97.00,105
Accepted,Computer Science,97.40,105
Accepted,Computer Science,96.00,101
Accepted,Computer Science,97.20,101
Accepted,Computer Science,98.00,105
Accepted,Computer Science,96.50,101
Accepted,Computer Science,97.80,101
Accepted,Computer Science,97.30,101
Accepted,Computer Science,98.20,101
Accepted,Computer Science,97.60,105
Accepted,Computer Science,99.00,101
Accepted,Computer Science,99.20,101
Accepted,Computer Science,96.50,101
Accepted,Computer Science,97.30,105
Accepted,Computer Science,97.17,101
Accepted,Computer Science,100.00,105
Accepted,Computer Science,97.30,105
Accepted,Computer Science,99.30,105
Accepted,Computer Science,97.00,105
Accepted,Computer Science,97.00,101
Accepted,Computer Science,99.40,101
Accepted,Computer Science,99.40,101
Accepted,Computer Science,99.40,101
Accepted,Computer Science,98.50,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,98.60,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,98.00,105
Accepted,Computer Science,92.00,105
Accepted,Computer Science,98.20,101
Accepted,Computer Science,98.30,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,99.20,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,97.33,101
Accepted,Computer Science,96.50,101
Rejected,Computer Science,99.00,101
Rejected,Computer Science,89.67,101
Rejected,Computer Science,96.80,105
Rejected,Computer Science,95.20,101
Rejected,Computer Science,96.70,101
Rejected,Computer Science,92.00,101
Rejected,Computer Science,98.40,105
Rejected,Computer Science,94.00,101
Rejected,Computer Science,98.80,105
Rejected,Computer Science,97.30,105
Rejected,Computer Science,97.50,105
