Program,Average Grade
Computer Science,97.68
Computer Science/BBA,97.39
Computer Science and Financial Management,97.04
Software Engineering,96.96
Biomedical Engineering,96.35
Mechatronics Engineering,96.28
Computer Engineering,96.08
Systems Design Engineering,95.86
Mathematics,95.77
Civil Engineering,95.57
Mechanical Engineering,95.51
Mathematics/BBA,95.44
Management Engineering,95.38
Global Business and Digital Arts,95.2
Electrical Engineering,94.78
Architectural Engineering,94.7
Environmental Engineering,94.4
Physical Sciences,94.35
Life Science,94.01
AFM,93.59
Chemical Engineering,92.95
Kinesiology,91.67
