Status,Program,Grade,Applicant Type
Accepted,Accounting and Financial Management,97.00,105
Accepted,Accounting and Financial Management,91.00,101
Accepted,Accounting and Financial Management,96.20,101
Accepted,Accounting and Financial Management,97.70,101
Accepted,Accounting and Financial Management,97.00,101
Accepted,Accounting and Financial Management,95.75,101
Accepted,Accounting and Financial Management,88.00,101
Accepted,Accounting and Financial Management,95.00,101
Accepted,Accounting and Financial Management,96.00,101
Accepted,Accounting and Financial Management,92.00,101
Accepted,Accounting and Financial Management,92.30,101
Accepted,Accounting and Financial Management,93.00,101
Accepted,Accounting and Financial Management,91.00,101
Accepted,Accounting and Financial Management,96.00,101
Accepted,Accounting and Financial Management,94.00,101
Accepted,Accounting and Financial Management,91.00,101
Accepted,Accounting and Financial Management,96.40,101
Accepted,Accounting and Financial Management,92.00,101
Accepted,Accounting and Financial Management,95.00,101
Accepted,Accounting and Financial Management,91.50,101
Accepted,Accounting and Financial Management,92.80,101
Accepted,Accounting and Financial Management,85.00,101
Accepted,Accounting and Financial Management,97.00,101
Accepted,Architectural Engineering,94.00,101
Accepted,Architectural Engineering,97.00,101
Accepted,Architectural Engineering,89.00,101
Accepted,Architectural Engineering,97.00,101
Accepted,Architectural Engineering,93.60,105
Accepted,Architectural Engineering,94.00,101
Accepted,Architectural Engineering,89.00,101
Accepted,Architectural Engineering,98.45,101
Accepted,Architectural Engineering,95.00,101
Accepted,Architectural Engineering,98.00,105
Accepted,Architectural Engineering,96.30,101
Accepted,Architectural Engineering,95.00,101
Accepted,Biomedical Engineering,97.70,101
Accepted,Biomedical Engineering,96.60,101
Accepted,Biomedical Engineering,96.00,101
Accepted,Biomedical Engineering,97.00,101
Accepted,Biomedical Engineering,97.60,105
Accepted,Biomedical Engineering,99.80,101
Accepted,Biomedical Engineering,93.20,101
Accepted,Biomedical Engineering,99.96,101
Accepted,Biomedical Engineering,95.00,101
Accepted,Biomedical Engineering,95.00,101
Accepted,Biomedical Engineering,96.80,101
Accepted,Biomedical Engineering,94.00,101
Accepted,Biomedical Engineering,97.50,101
Accepted,Biomedical Engineering,93.00,101
Accepted,Biomedical Engineering,92.00,101
Accepted,Biomedical Engineering,95.00,101
Accepted,Chemical Engineering,90.70,101
Accepted,Chemical Engineering,95.00,101
Accepted,Chemical Engineering,94.00,101
Accepted,Chemical Engineering,93.00,101
Accepted,Chemical Engineering,96.00,101
Accepted,Chemical Engineering,95.20,101
Accepted,Civil Engineering,93.80,101
Accepted,Civil Engineering,94.80,101
Accepted,Civil Engineering,96.60,101
Accepted,Civil Engineering,99.00,101
Accepted,Civil Engineering,93.00,101
Accepted,Civil Engineering,95.60,105
Accepted,Civil Engineering,97.30,101
Accepted,Civil Engineering,97.00,101
Accepted,Civil Engineering,93.00,101
Accepted,Computer Engineering,97.70,101
Accepted,Computer Engineering,98.50,101
Accepted,Computer Engineering,95.66,101
Accepted,Computer Engineering,95.40,101
Accepted,Computer Engineering,94.60,105
Accepted,Computer Engineering,95.40,105
Accepted,Computer Engineering,95.00,105
Accepted,Computer Engineering,92.00,105
Accepted,Computer Engineering,96.00,105
Accepted,Computer Engineering,95.00,105
Accepted,Computer Engineering,94.80,101
Accepted,Computer Engineering,97.00,101
Accepted,Computer Engineering,96.00,101
Accepted,Computer Engineering,99.00,101
Accepted,Computer Engineering,97.50,101
Accepted,Computer Engineering,95.00,101
Accepted,Computer Engineering,95.00,105
Accepted,Computer Engineering,97.80,101
Accepted,Computer Engineering,97.00,101
Accepted,Computer Engineering,98.00,101
Accepted,Computer Engineering,95.00,101
Accepted,Computer Engineering,98.00,101
Accepted,Computer Engineering,93.00,105
Accepted,Computer Engineering,98.00,105
Accepted,Computer Engineering,99.30,101
Accepted,Computer Engineering,93.00,101
Accepted,Computer Engineering,98.00,101
Accepted,Computer Engineering,98.00,101
Accepted,Computer Engineering,99.00,101
Accepted,Computer Engineering,94.00,101
Accepted,Computer Engineering,94.00,101
Accepted,Computer Engineering,96.00,101
Accepted,Computer Engineering,99.00,101
Accepted,Computer Engineering,96.00,101
Accepted,Computer Engineering,92.00,105
Accepted,Computer Engineering,96.87,101
Accepted,Computer Engineering,98.00,101
Accepted,Computer Engineering,96.20,101
Accepted,Computer Engineering,98.00,101
Accepted,Computer Engineering,97.00,101
Accepted,Computer Engineering,95.80,105
Accepted,Computer Engineering,95.00,105
Accepted,Computer Engineering,95.00,105
Accepted,Computer Engineering,94.00,101
Accepted,Computer Engineering,95.30,101
Accepted,Computer Engineering,96.00,101
Accepted,Computer Engineering,94.00,101
Accepted,Computer Engineering,97.00,101
Accepted,Computer Engineering,96.67,101
Accepted,Computer Engineering,97.60,101
Accepted,Computer Engineering,94.70,101
Accepted,Computer Engineering,97.33,101
Accepted,Computer Engineering,92.00,105
Accepted,Computer Engineering,93.00,101
Accepted,Computer Engineering,96.80,105
Accepted,Computer Engineering,96.50,101
Accepted,Computer Engineering,98.00,101
Accepted,Computer Engineering,94.80,105
Accepted,Computer Engineering,98.90,105
Accepted,Computer Engineering,96.80,105
Accepted,Computer Engineering,92.00,105
Accepted,Computer Engineering,96.00,101
Accepted,Computer Engineering,96.20,101
Accepted,Computer Engineering,97.00,101
Accepted,Computer Engineering,97.50,105
Accepted,Computer Engineering,94.50,105
Accepted,Computer Engineering,98.20,101
Accepted,Computer Science,98.83,101
Accepted,Computer Science,99.80,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,95.00,105
Accepted,Computer Science,97.00,101
Accepted,Computer Science,95.60,105
Accepted,Computer Science,98.00,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,97.70,101
Accepted,Computer Science,97.16,101
Accepted,Computer Science,100.00,105
Accepted,Computer Science,97.00,101
Accepted,Computer Science,99.70,105
Accepted,Computer Science,97.20,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,99.20,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.80,101
Accepted,Computer Science,97.50,101
Accepted,Computer Science,96.80,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,95.00,101
Accepted,Computer Science,98.30,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,98.50,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,97.83,101
Accepted,Computer Science,97.80,101
Accepted,Computer Science,99.50,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,98.50,101
Accepted,Computer Science,97.60,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,97.66,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,96.80,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,98.17,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,96.30,101
Accepted,Computer Science,98.17,101
Accepted,Computer Science,98.20,101
Accepted,Computer Science,96.50,101
Accepted,Computer Science,98.20,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,98.70,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,96.50,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,94.60,101
Accepted,Computer Science,98.80,101
Accepted,Computer Science,99.17,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.33,101
Accepted,Computer Science,97.30,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,98.70,101
Accepted,Computer Science,96.00,101
Accepted,Computer Science,98.20,101
Accepted,Computer Science,93.70,101
Accepted,Computer Science,98.30,101
Accepted,Computer Science,99.00,101
Accepted,Computer Science,96.50,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.30,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,97.30,101
Accepted,Computer Science,97.50,101
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.00,105
Accepted,Computer Science,98.00,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,98.30,101
Accepted,Computer Science,97.00,101
Accepted,Computer Science,96.80,105
Accepted,Computer Science,97.00,105
Accepted,Computer Science,97.50,101
Accepted,Computer Science,98.50,101
Accepted,Computer Science,98.90,105
Accepted,Computer Science,97.00,105
Accepted,Computer Science,97.40,105
Accepted,Computer Science,96.00,101
Accepted,Computer Science,97.20,101
Accepted,Computer Science,98.00,105
Accepted,Computer Science,96.50,101
Accepted,Computer Science,97.80,101
Accepted,Computer Science,97.30,101
Accepted,Computer Science,98.20,101
Accepted,Computer Science,97.60,105
Accepted,Computer Science,99.00,101
Accepted,Computer Science,99.20,101
Accepted,Computer Science,96.50,101
Accepted,Computer Science,97.30,105
